Facility ID,Organisation Name,Facility Name,Province,City,Address,Postal Code,NPRI ID,2014 GHG Emissions (kilotonnes of carbon dioxide equivalent),Facility GHG Data Link,NAICS Name,NAICS Data Link,Latitude,Longitude
12,Aluminerie Alouette inc.,Aluminerie Alouette inc.,Quebec,Sept-Îles,400 Chemin de de la Pointe-Noire,G4R5M9,4778,1153.18,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10012,Primary Production of Alumina & Aluminum,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=331313,50.1583,-66.4416
13,Alcoa Limitée,Aluminerie de Baie-Comeau,Quebec,Baie-Comeau,100 Maritime Route,G4Z2L6,2038,499.17,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10013,Primary Production of Alumina & Aluminum,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=331313,49.2583,-68.1461
14,Aluminerie de Bécancour inc.,Aluminerie de Bécancour inc.,Quebec,Bécancour,5555 Pierre Thibault,G9H2T7,1071,800.92,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10014,Primary Production of Alumina & Aluminum,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=331313,46.3829,-72.3874
15,ATCO Gas and Pipelines Ltd.,ATCO Pipelines,Alberta,Edmonton,7210 42 Street Northwest,T6B3H1,,206.25,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10015,Pipeline Transportation of Natural Gas,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=486210,0,0
18,Alberta Power (2000) Ltd.,Battle River Generating Station,Alberta,Forestburg,Box 498,T0B1N0,1033,4327.63,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10018,Fossil-Fuel Electric Power Generation,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=221112,52.468,-112.135
20,Bayside Power L.P.,Bayside Power,New Brunswick,Saint John,509 Bayside Drive,E2J1B4,5084,717.86,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10020,Fossil-Fuel Electric Power Generation,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=221112,45.2753,-66.0269
21,Graymont (QC) Inc.,Usine de Bedford,Quebec,Bedford,1015 de la Carriere Road,J0J1A0,5591,486.97,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10021,Lime Mfg.,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=327410,45.1123,-73.0129
22,New Brunswick Power Corporation,Belledune Generating Station,New Brunswick,Belledune,1558 Main Street,E8G2M3,1698,2847.07,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10022,Fossil-Fuel Electric Power Generation,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=221112,47.9058,-65.867
24,Saskatchewan Power Corporation,Boundary Dam Power Station,Saskatchewan,Estevan,04/05-002-08-W2,S4A2A6,2081,4994.43,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10024,Fossil-Fuel Electric Power Generation,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=221112,49.0422,-103.0323
25,Produits forestiers Résolu,Thunder Bay Operations,Ontario,Thunder Bay,2001 Neebing Avenue,P7E6S3,930,223.25,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10025,Chemical Pulp Mills,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=322112,48.3486,-89.3067
26,"City of Winnipeg, Water & Waste Department",Brady Road Resource Management Facility,Manitoba,Winnipeg,1901 Brady Road,R3Y1T1,6896,381.03,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10026,Waste Treatment & Disposal,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=562210,49.7583,-97.2004
27,FCA Canada Inc.,Brampton Assembly Plant,Ontario,Brampton,2000 Williams Parkway East,L6S6B3,4173,76.8,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10027,Automobile & Light-Duty Motor Vehicle Mfg.,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=336110,43.7512,-79.7168
28,Manitoba Hydro,Brandon Generating Station,Manitoba,Brandon,3305 Victoria Avenue East,R7A7J8,821,72.4,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10028,Fossil-Fuel Electric Power Generation,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=221112,49.8449,-99.8896
29,Blaze Energy Ltd.,Brazeau Gas Plant,Alberta,Drayton Valley,04-31-048-12-W5,       ,3749,150.6,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10029,Conventional Oil & Gas Extraction,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=211113,53.1812,-115.7625
30,Keyera Corp,Brazeau River Gas Plant,Alberta,Drayton Valley,03-12-046-14-W5M,T7A1S5,1362,101.23,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10030,Conventional Oil & Gas Extraction,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=211113,52.94707,-115.9026
